Support Library class,Android X class,Similarity,Support,AndroidX,Percentage
android.support.v4.util.PatternsCompat,androidx.core.util.PatternsCompat,0.9989,3,233,1.29%
android.support.v4.view.PagerTabStrip,androidx.viewpager.widget.PagerTabStrip,1,3,70,4.29%
android.support.v4.widget.AutoScrollHelper,androidx.core.widget.AutoScrollHelper,1,3,49,6.12%
android.support.v4.widget.ContentLoadingProgressBar,androidx.core.widget.ContentLoadingProgressBar,0.9452,3,764,0.39%
android.support.v4.widget.SlidingPaneLayout,androidx.slidingpanelayout.widget.SlidingPaneLayout,0.9944,3,145,2.07%
android.support.v7.preference.DialogPreference,androidx.preference.DialogPreference,1,3,442,0.68%
android.support.v7.view.menu.BaseMenuPresenter,androidx.appcompat.view.menu.BaseMenuPresenter,0.9997,3,5,60.0%
android.support.v7.view.menu.SubMenuBuilder,androidx.appcompat.view.menu.SubMenuBuilder,1,3,4916,0.06%
android.support.v7.widget.ChildHelper,androidx.recyclerview.widget.ChildHelper,1,3,26,11.54%
android.support.v7.widget.DecorToolbar,androidx.appcompat.widget.DecorToolbar,1,3,89,3.37%
android.support.v7.widget.GridLayout,androidx.gridlayout.widget.GridLayout,1,3,169,1.78%
android.support.v7.widget.MenuPopupWindow,androidx.appcompat.widget.MenuPopupWindow,0.9866,3,130,2.31%
android.support.v7.widget.ScrollingTabContainerView,androidx.appcompat.widget.ScrollingTabContainerView,0.9998,3,159,1.89%
android.support.v7.widget.TintInfo,androidx.appcompat.widget.TintInfo,0.9979,3,32,9.38%
android.support.animation.DynamicAnimation,androidx.dynamicanimation.animation.DynamicAnimation,1,2,3343,0.06%
android.support.animation.SpringAnimation,androidx.dynamicanimation.animation.SpringAnimation,1,2,3337,0.06%
android.support.animation.SpringForce,androidx.dynamicanimation.animation.SpringForce,1,2,3333,0.06%
android.support.constraint.Barrier,androidx.constraintlayout.widget.Barrier,0.9993,2,618,0.32%
android.support.constraint.ConstraintHelper,androidx.constraintlayout.widget.ConstraintHelper,0.9995,2,447,0.45%
android.support.constraint.solver.SolverVariable,androidx.constraintlayout.solver.SolverVariable,1,2,40,5.0%
android.support.constraint.solver.widgets.ConstraintAnchor,androidx.constraintlayout.solver.widgets.ConstraintAnchor,1,2,70,2.86%
android.support.constraint.solver.widgets.ConstraintWidget,androidx.constraintlayout.solver.widgets.ConstraintWidget,1,2,125,1.6%
android.support.transition.TransitionValues,androidx.transition.TransitionValues,0.9916,2,5006,0.04%
android.support.v13.app.FragmentCompat,androidx.legacy.app.FragmentCompat,1,2,27,7.41%
android.support.v13.view.inputmethod.EditorInfoCompat,androidx.core.view.inputmethod.EditorInfoCompat,0.7078,2,99,2.02%
android.support.v13.view.inputmethod.InputConnectionCompat,androidx.core.view.inputmethod.InputConnectionCompat,0.9421,2,162,1.23%
android.support.v13.view.inputmethod.InputContentInfoCompat,androidx.core.view.inputmethod.InputContentInfoCompat,1,2,118,1.69%
android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat,androidx.core.accessibilityservice.AccessibilityServiceInfoCompat,1,2,3,66.67%
android.support.v4.app.FragmentTransition,androidx.fragment.app.FragmentTransition,0.8831,2,3,66.67%
android.support.v4.app.SuperNotCalledException,androidx.fragment.app.SuperNotCalledException,1,2,9,22.22%
android.support.v4.content.res.ComplexColorCompat,androidx.core.content.res.ComplexColorCompat,1,2,7,28.57%
