support,androidx,similarity,manual check
android.support.media2.MediaLibraryService2LegacyStub,androidx.textclassifier.BundleUtils,62.70%,0
android.support.wearable.view.CircledImageView,androidx.ui.material.SliderKt,62.80%,0
android.support.design.widget.CutoutDrawable,androidx.wear.watchface.complications.rendering.ComplicationHighlightRenderer,62.85%,0
android.support.design.widget.TextInputEditText,androidx.emoji2.widget.ExtractButtonCompat,62.87%,0
android.support.wearable.view.ScrollManager,androidx.compose.ui.graphics.colorspace.Oklab,62.91%,0
android.support.test.internal.runner.junit4.NonExecutingJUnit4ClassRunner,org.junit.runners.model.Statement,62.98%,0
android.support.wearable.Doc,androidx.media2.common.ClassVerificationHelper,63.21%,0
android.support.wearable.preference.PreferenceIconHelper,androidx.appcompat.widget.ResourceManagerInternal,63.36%,0
android.support.design.transformation.ExpandableBehavior,androidx.compose.ui.test.junit4.ComposeIdlingResource_androidKt,63.38%,0
android.support.test.espresso.core.internal.deps.dagger.internal.MemoizedSentinel,io.grpc.CallCredentials,63.41%,0
android.support.v4.media.session.MediaControllerCompatApi23,androidx.media2.common.ClassVerificationHelper,63.44%,0
android.support.design.animation.Positioning,androidx.compose.ui.graphics.RenderEffectKt,63.66%,0
android.support.v4.app.RemoteActionCompatParcelizer,androidx.core.app.RemoteActionCompatParcelizer,63.72%,0
android.support.media2.MediaBrowser2ImplLegacy,androidx.textclassifier.BundleUtils,63.74%,0
android.support.test.internal.runner.AndroidRunnerBuilder,androidx.test.internal.runner.AndroidRunnerBuilder,63.80%,1
android.support.media2.MediaPlaylistAgent,androidx.compose.ui.text.caches.SimpleArrayMap,63.81%,0
android.support.wearable.activity.ConfirmationActivity,androidx.car.util.ListItemBackgroundResolver,63.98%,0
android.support.design.widget.CollapsingToolbarLayout,androidx.slice.widget.SliceViewUtil,63.98%,0
android.support.wearable.display.WearableDisplay,androidx.camera.core.internal.ViewPorts,64.30%,0
android.support.media2.MediaController2Stub,androidx.appsearch.app.AppSearchSchema,64.51%,0
android.support.wearable.view.ActionLabel,androidx.compose.ui.text.android.style.IndentationFixSpanKt,64.80%,0
android.support.wearable.complications.IconSerializableHelper,androidx.wear.watchface.complications.data.IconHelperP,64.99%,0
android.support.wearable.watchface.Gles2WatchFaceService,androidx.media3.common.util.GlUtil,65.00%,0
android.support.test.espresso.core.internal.deps.guava.util.concurrent.FluentFuture,androidx.test.espresso.core.internal.deps.guava.util.concurrent.GwtFluentFutureCatchingSpecialization,65.00%,0
android.support.design.widget.TabLayout,androidx.media3.extractor.text.dvb.DvbParser,65.17%,0
android.support.design.animation.MatrixEvaluator,androidx.media3.effect.ScaleToFitTransformation,65.36%,0
android.support.v4.media.RatingCompat,androidx.constraintlayout.core.motion.utils.Utils,65.57%,0
android.support.v4.media.session.PlaybackStateCompat,androidx.media3.exoplayer.hls.UnexpectedSampleTimestampException,65.58%,0
android.support.design.internal.ScrimInsetsFrameLayout,androidx.wear.watchface.complications.rendering.utils.LayoutUtils,65.61%,0
android.support.wearable.watchface.decomposition.BaseDrawnComponent,androidx.core.view.accessibility.AccessibilityViewCommand,65.65%,0
android.support.design.card.MaterialCardViewHelper,androidx.wear.tiles.renderer.internal.RatioViewWrapper,65.76%,0
android.support.v4.media.MediaBrowserCompatApi26,androidx.navigation.NavType,65.79%,0
android.support.design.button.MaterialButton,androidx.slice.widget.SliceViewUtil,65.97%,0
android.support.test.espresso.remote.internal.deps.guava.util.concurrent.Platform,androidx.test.internal.util.AndroidRunnerBuilderUtil,66.03%,0
android.support.test.espresso.web.internal.deps.guava.util.concurrent.Platform,androidx.test.internal.util.AndroidRunnerBuilderUtil,66.03%,0
android.support.design.widget.Snackbar,androidx.databinding.adapters.ViewBindingAdapter,66.21%,0
android.support.design.internal.NavigationMenuView,androidx.emoji2.widget.ExtractButtonCompat,66.35%,0
android.support.design.internal.ForegroundLinearLayout,androidx.slice.widget.SliceViewUtil,66.57%,0
android.support.v4.media.MediaDescriptionCompatApi23,androidx.camera.video.OutputResults,66.66%,0
android.support.wearable.watchface.WatchFaceStyle,androidx.paging.PagingConfig,66.70%,0
android.support.design.drawable.DrawableUtils,androidx.core.graphics.BlendModeColorFilterCompat,66.74%,0
android.support.wearable.view.WearableListView,androidx.ui.node.ViewInteropKt,66.98%,0
android.support.wearable.view.CardFrame,androidx.wear.tiles.renderer.RatioViewWrapper,67.38%,0
android.support.v4.media.session.ParcelableVolumeInfo,androidx.media2.IMediaController,67.43%,0
android.support.design.stateful.ExtendableSavedState,com.google.android.aidl.Codecs,67.44%,0
android.support.design.widget.SwipeDismissBehavior,androidx.wear.widget.ArcLayout,67.47%,0
android.support.design.internal.NavigationMenu,androidx.slice.widget.SliceViewUtil,67.47%,0
android.support.v4.media.session.MediaSessionCompatApi21,android.databinding.tool.util.Preconditions,67.56%,0
android.support.v4.media.session.MediaControllerCompatApi24,android.databinding.tool.util.Preconditions,67.66%,0
android.support.v4.media.MediaDescriptionCompatApi21,androidx.test.espresso.web.internal.deps.guava.util.concurrent.NullnessCasts,67.71%,0
android.support.design.shape.EdgeTreatment,androidx.animation.AnimationVectorsKt,67.74%,0
android.support.design.transformation.TransformationChildCard,androidx.media3.database.ExoDatabaseProvider,67.89%,0
android.support.design.transformation.TransformationChildLayout,androidx.media3.database.ExoDatabaseProvider,67.89%,0
android.support.v4.media.session.MediaSessionCompatApi22,androidx.compose.foundation.lazy.staggeredgrid.LazyStaggeredGridScopeImpl,67.96%,0
android.support.wearable.complications.ComplicationText,androidx.wear.watchface.complications.data.TextKt,67.99%,0
android.support.v4.media.session.MediaSessionCompat,androidx.wear.ongoing.SerializationHelper,68.02%,0
android.support.design.widget.HeaderBehavior,androidx.wear.tiles.renderer.RatioViewWrapper,68.23%,0
android.support.design.animation.AnimatorSetCompat,androidx.compose.ui.test.AndroidInputDispatcher,68.30%,0
android.support.wearable.view.CurvedChildLayoutManager,androidx.ui.material.SliderKt,68.31%,0
android.support.design.internal.FlexContainer,androidx.core.view.NestedScrollingParent3,68.38%,0
android.support.design.widget.BottomSheetBehavior,androidx.ui.node.ViewInteropKt,68.57%,0
android.support.design.widget.TabItem,androidx.wear.tiles.renderer.internal.ImageViewWithoutIntrinsicSizes,68.67%,0
android.support.design.widget.ShadowDrawableWrapper,androidx.camera.core.impl.utils.TransformUtils,68.84%,0
android.support.design.internal.ParcelableSparseArray,com.google.android.aidl.Codecs,68.89%,0
android.support.design.widget.AppBarLayout,androidx.compose.foundation.lazy.grid.LazyGridMeasureKt,68.90%,0
android.support.wearable.view.RecyclerViewMergeAdapter,androidx.compose.foundation.lazy.staggeredgrid.LazyStaggeredGridCellsKt,68.97%,0
android.support.wearable.view.DefaultOffsettingHelper,androidx.compose.animation.graphics.vector.AnimatorKt,69.20%,0
android.support.wearable.view.WearableFrameLayout,androidx.compose.ui.node.MyersDiffKt,69.31%,0
android.support.wearable.preference.WearablePreferenceActivity,androidx.car.app.notification.CarPendingIntent,69.37%,0
android.support.v4.media.AudioAttributesImplApi26Parcelizer,androidx.media.AudioAttributesImplApi26Parcelizer,69.54%,1
android.support.v4.media.AudioAttributesImplApi21Parcelizer,androidx.media.AudioAttributesImplApi21Parcelizer,69.54%,1
android.support.wearable.authentication.IAuthenticationRequestService,androidx.health.services.client.impl.IPassiveMonitoringCallback,69.57%,0
android.support.wearable.notifications.IBridgingManagerService,androidx.health.services.client.impl.IPassiveMonitoringCallback,69.65%,0
android.support.wearable.authentication.IAuthenticationRequestCallback,androidx.health.services.client.impl.IPassiveMonitoringCallback,69.65%,0
android.support.wearable.input.RotaryEncoder,androidx.recyclerview.selection.MotionEvents,69.76%,0
android.support.design.widget.NavigationView,androidx.slice.widget.SliceViewUtil,69.78%,0
android.support.wearable.watchface.decompositionface.DecompositionDrawable,androidx.ui.text.platform.AndroidParagraphHelperKt,69.95%,0
android.support.wearable.complications.TimeDifferenceText,kotlin.UnsignedKt,70.12%,0
android.support.design.shape.TriangleEdgeTreatment,androidx.compose.material.icons.rounded.WifiChannelKt,70.26%,0
android.support.design.resources.TextAppearanceConfig,androidx.compose.runtime.external.kotlinx.collections.immutable.internal.CommonFunctionsKt,70.51%,0
android.support.v4.media.session.PlaybackStateCompatApi21,kotlin.jvm.internal.MagicApiIntrinsics,70.72%,0
android.support.v4.media.ParceledListSliceAdapterApi21,androidx.car.app.managers.Manager,70.92%,0
android.support.v4.media.MediaBrowserCompatApi21,android.databinding.tool.util.Preconditions,70.99%,0
